"archive_date","adult_child","hospital_name","wait_0_6_months","wait_6_12_months","wait_12_18_months","wait_18_plus_months","total"
"2024-05-30","Adult","Connolly Hospital Blanchardstown",4771,292,18,0,5081
"2024-05-30","Adult","Cavan General Hospital",5011,2677,225,58,7971
"2024-05-30","Adult","Beaumont Hospital",26268,12243,2373,253,41137
"2024-05-30","Adult","Bantry General Hospital",793,99,14,0,905
"2024-05-30","Child","St. Luke's General Hospital Kilkenny",479,15,15,7,516
"2024-05-30","Child","Tipperary University Hospital",298,47,3,0,347
"2024-05-30","Child","University Hospital Kerry",731,307,60,13,1111
"2024-05-30","Child","University Hospital Limerick",2757,783,283,140,3963
"2024-05-30","Child","St. John's Hospital Limerick",5,0,0,0,5
"2024-05-30","Child","University Hospital Waterford",2163,1007,436,309,3915
"2024-05-30","Child","Wexford General Hospital",705,278,53,0,1035
"2024-06-27","Adult","Bantry General Hospital",728,89,18,0,836
"2024-06-27","Adult","Beaumont Hospital",26624,11588,2492,250,40954
"2024-06-27","Adult","Cavan General Hospital",4798,2565,325,55,7743
"2024-06-27","Adult","Connolly Hospital Blanchardstown",5035,372,11,0,5418
"2024-06-27","Adult","Coombe Women and Infants University Hospital",1564,724,122,17,2427
"2024-06-27","Adult","Cork University Hospital",16015,6640,3583,4939,31177
"2024-06-27","Adult","Cork University Maternity Hospital",2188,50,9,0,2246
"2024-06-27","Adult","Croom Orthopaedic Hospital",3292,1277,527,137,5232
"2024-06-27","Adult","Ennis Hospital",483,319,270,78,1149
"2024-06-27","Adult","Galway University Hospitals",22661,8525,4157,6209,41551
"2024-06-27","Adult","Letterkenny University Hospital",9129,2485,1055,1802,14471
"2024-06-27","Adult","Louth County Hospital",1498,364,5,0,1867
"2024-06-27","Adult","Mallow General Hospital",2376,913,321,124,3734
"2024-06-27","Adult","Mater Misericordiae University Hospital",23309,6705,3258,4770,38042
"2024-06-27","Adult","Mayo University Hospital",3991,1031,253,184,5460
"2024-06-27","Adult","Mercy University Hospital",3186,1299,583,775,5842
"2024-06-27","Adult","Midland Regional Hospital Mullingar",4843,1866,1061,1091,8860
"2024-06-27","Adult","Midland Regional Hospital Portlaoise",2284,950,433,377,4043
"2024-06-27","Adult","Midland Regional Hospital Tullamore",9154,2014,314,0,11482
"2024-06-27","Adult","Naas General Hospital",6494,2712,1060,130,10395
"2024-06-27","Adult","National Maternity Hospital (Holles Street)",2705,475,119,1,3300
"2024-06-27","Adult","National Orthopaedic Hospital Cappagh",2571,1684,557,241,5053
"2024-06-27","Adult","Nenagh Hospital",399,258,213,101,971
"2024-06-27","Adult","Our Lady of Lourdes Hospital Drogheda",9321,3417,537,51,13325
"2024-06-27","Adult","Our Lady's Hospital Navan",3837,1720,656,103,6317
"2024-06-27","Adult","Portiuncula University Hospital",2067,398,133,75,2672
"2024-06-27","Adult","Roscommon University Hospital",2934,620,164,101,3820
"2024-06-27","Adult","Rotunda Hospital",3738,787,1,0,4526
"2024-06-27","Adult","Royal Victoria Eye and Ear Hospital",5422,2645,1598,1399,11064
"2024-06-27","Adult","Sligo University Hospital",7482,2187,861,1268,11798
"2024-06-27","Adult","South Infirmary Victoria University Hospital",12388,6559,3115,3712,25774
"2024-06-27","Adult","St. Columcille's Hospital",2339,1423,1174,4243,9179
"2024-06-27","Adult","St. James's Hospital",17680,4990,1527,1009,25206
"2024-06-27","Adult","St. John's Hospital Limerick",353,226,86,0,664
"2024-06-27","Adult","St. Luke's General Hospital Kilkenny",3802,1316,741,268,6128
"2024-06-27","Adult","St. Michael's Hospital",2723,927,358,325,4332
"2024-06-27","Adult","St. Vincent's University Hospital",19465,7489,2984,1305,31242
"2024-06-27","Adult","Tallaght University Hospital",14988,8095,4284,3263,30629
"2024-06-27","Adult","Tipperary University Hospital",2230,773,297,9,3309
"2024-06-27","Adult","University Hospital Kerry",5867,2498,842,233,9440
"2024-06-27","Adult","University Hospital Limerick",15079,3799,1499,978,21355
"2024-06-27","Adult","University Hospital Waterford",18666,9711,4812,5210,38399
"2024-06-27","Adult","Wexford General Hospital",3042,632,115,62,3852
"2024-06-27","Child","Beaumont Hospital",46,11,3,0,59
"2024-06-27","Child","Cavan General Hospital",848,207,42,0,1097
"2024-06-27","Child","Children's Health Ireland",19992,9565,6420,5069,41046
"2024-06-27","Child","Coombe Women and Infants University Hospital",26,14,6,0,46
"2024-06-27","Child","Cork University Hospital",3503,1550,629,354,6037
"2024-06-27","Child","Cork University Maternity Hospital",57,0,0,0,57
"2024-06-27","Child","Croom Orthopaedic Hospital",208,13,2,2,225
"2024-06-27","Child","Ennis Hospital",32,10,6,0,47
"2024-06-27","Child","Galway University Hospitals",3151,1047,511,802,5511
"2024-06-27","Child","Letterkenny University Hospital",1159,341,269,158,1926
"2024-06-27","Child","Mallow General Hospital",216,146,163,32,557
"2024-06-27","Child","Mayo University Hospital",652,88,12,29,780
"2024-06-27","Child","Mercy University Hospital",137,44,0,0,181
"2024-06-27","Child","Midland Regional Hospital Mullingar",894,302,96,5,1297
"2024-06-27","Child","Midland Regional Hospital Portlaoise",755,347,206,56,1365
"2024-06-27","Child","Midland Regional Hospital Tullamore",1164,310,13,0,1487
"2024-06-27","Child","Naas General Hospital",6,2,0,0,8
"2024-06-27","Child","National Maternity Hospital (Holles Street)",54,17,0,0,71
"2024-06-27","Child","National Orthopaedic Hospital Cappagh",133,49,39,20,241
"2024-06-27","Child","Nenagh Hospital",7,2,2,0,11
"2024-06-27","Child","Our Lady of Lourdes Hospital Drogheda",2230,1249,260,21,3760
"2024-06-27","Child","Our Lady's Hospital Navan",1,0,0,0,1
"2024-06-27","Child","Portiuncula University Hospital",437,30,17,0,485
"2024-06-27","Child","Rotunda Hospital",10,0,0,0,10
"2024-06-27","Child","Royal Victoria Eye and Ear Hospital",288,148,120,63,619
"2024-06-27","Child","Sligo University Hospital",1356,152,40,81,1629
"2024-06-27","Child","South Infirmary Victoria University Hospital",1582,704,389,278,2953
"2024-06-27","Child","St. John's Hospital Limerick",1,0,0,0,1
"2024-06-27","Child","St. Luke's General Hospital Kilkenny",463,11,15,7,495
"2024-06-27","Child","Tallaght University Hospital",10,8,0,0,18
"2024-06-27","Child","Tipperary University Hospital",310,47,7,0,364
"2024-06-27","Child","University Hospital Kerry",759,323,68,14,1164
"2024-06-27","Child","University Hospital Limerick",2875,817,293,127,4111
"2024-06-27","Child","University Hospital Waterford",2170,1011,470,329,3980
"2024-06-27","Child","Wexford General Hospital",735,275,15,0,1025
"2024-07-25","Adult","Bantry General Hospital",750,80,14,0,844
"2024-07-25","Adult","Beaumont Hospital",27100,12010,2532,263,41904
"2024-07-25","Adult","Cavan General Hospital",4741,2188,413,29,7372
"2024-07-25","Adult","Connolly Hospital Blanchardstown",5234,401,102,0,5737
"2024-07-25","Adult","Coombe Women and Infants University Hospital",1617,710,117,16,2460
"2024-07-25","Adult","Cork University Hospital",15943,6491,3716,4731,30881
"2024-07-25","Adult","Cork University Maternity Hospital",2291,27,5,3,2325
"2024-07-25","Adult","Croom Orthopaedic Hospital",3261,1276,584,122,5243
"2024-07-25","Adult","Ennis Hospital",505,279,279,86,1149
"2024-07-25","Adult","Galway University Hospitals",22738,7886,3948,5617,40189
"2024-07-25","Adult","Letterkenny University Hospital",9938,2583,1055,1807,15384
"2024-07-25","Adult","Louth County Hospital",1484,375,5,0,1864
"2024-07-25","Adult","Mallow General Hospital",2438,893,314,136,3780
"2024-07-25","Adult","Mater Misericordiae University Hospital",23556,6381,3207,4709,37853
"2024-07-25","Adult","Mayo University Hospital",4022,998,262,174,5457
"2024-07-25","Adult","Mercy University Hospital",3265,1241,595,718,5819
"2024-07-25","Adult","Midland Regional Hospital Mullingar",4824,1826,955,976,8580
"2024-07-25","Adult","Midland Regional Hospital Portlaoise",2274,891,451,338,3955
"2024-07-25","Adult","Midland Regional Hospital Tullamore",9220,1963,215,2,11400
"2024-07-25","Adult","Naas General Hospital",6850,2695,1137,113,10795
"2024-07-25","Adult","National Maternity Hospital (Holles Street)",2781,478,116,1,3376
"2024-07-25","Adult","National Orthopaedic Hospital Cappagh",2554,1656,559,219,4987
"2024-07-25","Adult","Nenagh Hospital",414,228,215,117,974
"2024-07-25","Adult","Our Lady of Lourdes Hospital Drogheda",9367,3471,679,36,13553
"2024-07-25","Adult","Our Lady's Hospital Navan",3871,1604,546,114,6135
"2024-07-25","Adult","Portiuncula University Hospital",2060,420,133,84,2698
"2024-07-25","Adult","Roscommon University Hospital",2575,506,165,78,3323
"2024-07-25","Adult","Rotunda Hospital",3875,661,3,0,4539
"2024-07-25","Adult","Royal Victoria Eye and Ear Hospital",5584,2658,1688,1324,11254
"2024-07-25","Adult","Sligo University Hospital",7906,2194,872,1211,12183
"2024-07-25","Adult","South Infirmary Victoria University Hospital",13070,6359,3307,3771,26507
"2024-07-25","Adult","St. Columcille's Hospital",2513,1374,1163,4236,9286
"2024-07-25","Adult","St. James's Hospital",18212,4885,1580,891,25569
"2024-07-25","Adult","St. John's Hospital Limerick",335,209,84,0,628
"2024-07-25","Adult","St. Luke's General Hospital Kilkenny",3976,1245,798,299,6318
"2024-07-25","Adult","St. Michael's Hospital",2746,877,380,318,4321
"2024-07-25","Adult","St. Vincent's University Hospital",19605,7012,3319,1407,31342
"2024-07-25","Adult","Tallaght University Hospital",15258,7816,4285,3069,30427
"2024-07-25","Adult","Tipperary University Hospital",2221,702,320,17,3260
"2024-07-25","Adult","University Hospital Kerry",6532,2428,830,244,10034
"2024-07-25","Adult","University Hospital Limerick",14900,3633,1638,957,21128
"2024-07-25","Adult","University Hospital Waterford",19116,9581,5047,5044,38789
"2024-07-25","Adult","Wexford General Hospital",3068,545,131,67,3811
"2024-07-25","Child","Beaumont Hospital",41,9,1,1,52
"2024-07-25","Child","Cavan General Hospital",855,140,63,0,1058
"2024-07-25","Child","Children's Health Ireland",19937,9448,6569,4837,40791
"2024-07-25","Child","Coombe Women and Infants University Hospital",26,14,6,0,47
"2024-07-25","Child","Cork University Hospital",3623,1563,647,362,6195
"2024-07-25","Child","Cork University Maternity Hospital",60,0,0,0,60
"2024-07-25","Child","Croom Orthopaedic Hospital",213,15,3,2,232
"2024-07-25","Child","Ennis Hospital",27,10,4,2,42
"2024-07-25","Child","Galway University Hospitals",3116,876,475,762,5230
"2024-07-25","Child","Letterkenny University Hospital",1163,330,279,152,1924
"2024-07-25","Child","Mallow General Hospital",199,143,163,42,547
"2024-07-25","Child","Mayo University Hospital",660,82,8,30,779
"2024-07-25","Child","Midland Regional Hospital Mullingar",871,318,91,5,1285
"2024-07-25","Child","Midland Regional Hospital Portlaoise",746,355,201,50,1353
"2024-07-25","Child","Midland Regional Hospital Tullamore",1077,356,5,0,1437
"2024-07-25","Child","Naas General Hospital",5,2,0,0,6
"2024-07-25","Child","National Maternity Hospital (Holles Street)",56,10,3,0,68
"2024-07-25","Child","National Orthopaedic Hospital Cappagh",128,45,32,17,222
"2024-07-25","Child","Nenagh Hospital",7,3,0,0,10
"2024-07-25","Child","Our Lady of Lourdes Hospital Drogheda",2145,1266,304,12,3727
"2024-07-25","Child","Our Lady's Hospital Navan",2,0,0,0,2
"2024-07-25","Child","Portiuncula University Hospital",411,29,5,0,445
"2024-07-25","Child","Roscommon University Hospital",144,36,12,8,200
"2024-07-25","Child","Rotunda Hospital",13,1,0,0,14
"2024-07-25","Child","Royal Victoria Eye and Ear Hospital",305,146,121,48,620
"2024-07-25","Child","Sligo University Hospital",1404,163,47,85,1700
"2024-07-25","Child","South Infirmary Victoria University Hospital",1576,663,394,305,2938
"2024-07-25","Child","St. Luke's General Hospital Kilkenny",478,13,17,7,515
"2024-07-25","Child","Tallaght University Hospital",8,8,0,0,15
"2024-07-25","Child","Tipperary University Hospital",300,41,5,0,346
"2024-07-25","Child","University Hospital Kerry",758,309,75,16,1158
"2024-07-25","Child","University Hospital Limerick",2754,845,309,103,4010
"2024-07-25","Child","University Hospital Waterford",2146,1032,504,315,3997
"2024-07-25","Child","Wexford General Hospital",734,264,2,0,1000
"2024-08-29","Child","Wexford General Hospital",725,238,0,0,963
"2024-08-29","Adult","Bantry General Hospital",815,114,10,2,942
"2024-08-29","Adult","Beaumont Hospital",26341,13060,2908,307,42616
"2024-08-29","Adult","Cavan General Hospital",4440,1807,483,39,6770
"2024-08-29","Adult","Connolly Hospital Blanchardstown",5665,349,23,0,6037
"2024-08-29","Adult","Coombe Women and Infants University Hospital",1727,749,120,15,2611
"2024-08-29","Adult","Cork University Hospital",14861,6617,3477,4834,29789
"2024-08-29","Adult","Cork University Maternity Hospital",2299,43,2,2,2345
"2024-08-29","Adult","Croom Orthopaedic Hospital",3248,1438,632,197,5515
"2024-08-29","Adult","Ennis Hospital",509,286,293,76,1164
"2024-08-29","Adult","Galway University Hospitals",22797,8468,4125,5621,41012
"2024-08-29","Adult","Letterkenny University Hospital",9831,2673,927,1424,14855
"2024-08-29","Adult","Louth County Hospital",1453,361,4,0,1817
"2024-08-29","Adult","Mallow General Hospital",2535,897,313,164,3908
"2024-08-29","Adult","Mater Misericordiae University Hospital",23681,6609,3101,4688,38078
"2024-08-29","Adult","Mayo University Hospital",3998,1041,257,277,5572
"2024-08-29","Adult","Mercy University Hospital",3061,1270,563,622,5516
"2024-08-29","Adult","Midland Regional Hospital Mullingar",4959,1702,687,967,8315
"2024-08-29","Adult","Midland Regional Hospital Portlaoise",2663,954,464,322,4403
"2024-08-29","Adult","Midland Regional Hospital Tullamore",9172,1996,214,2,11384
"2024-08-29","Adult","Naas General Hospital",6728,2724,1176,122,10749
"2024-08-29","Adult","National Maternity Hospital (Holles Street)",2281,527,117,1,2926
"2024-08-29","Adult","National Orthopaedic Hospital Cappagh",2389,1705,572,220,4886
"2024-08-29","Adult","Nenagh Hospital",387,255,214,66,922
"2024-08-29","Adult","Our Lady of Lourdes Hospital Drogheda",9398,3549,848,42,13838
"2024-08-29","Adult","Our Lady's Hospital Navan",3770,1457,426,70,5722
"2024-08-29","Adult","Portiuncula University Hospital",2095,483,141,65,2784
"2024-08-29","Adult","Roscommon University Hospital",2591,467,137,72,3268
"2024-08-29","Adult","Rotunda Hospital",3899,710,3,3,4614
"2024-08-29","Adult","Royal Victoria Eye and Ear Hospital",5696,2743,1608,1311,11358
"2024-08-29","Adult","Sligo University Hospital",7533,2176,930,1218,11858
"2024-08-29","Adult","South Infirmary Victoria University Hospital",13419,6690,3178,3713,27000
"2024-08-29","Adult","St. Columcille's Hospital",2491,1361,1227,4349,9428
"2024-08-29","Adult","St. James's Hospital",17700,4853,1425,897,24874
"2024-08-29","Adult","St. John's Hospital Limerick",338,185,86,2,612
"2024-08-29","Adult","St. Luke's General Hospital Kilkenny",3671,1225,780,359,6034
"2024-08-29","Adult","St. Michael's Hospital",2738,935,425,363,4461
"2024-08-29","Adult","St. Vincent's University Hospital",19561,7220,3445,1443,31668
"2024-08-29","Adult","Tallaght University Hospital",15471,7815,4185,2887,30359
"2024-08-29","Adult","Tipperary University Hospital",2321,677,311,21,3331
"2024-08-29","Adult","University Hospital Kerry",6671,2650,906,291,10517
"2024-08-29","Adult","University Hospital Limerick",15382,4191,1802,995,22369
"2024-08-29","Adult","University Hospital Waterford",19674,9906,5242,4937,39759
"2024-08-29","Adult","Wexford General Hospital",3134,585,110,71,3899
"2024-08-29","Child","Beaumont Hospital",60,10,2,0,71
"2024-08-29","Child","Cavan General Hospital",788,115,57,0,960
"2024-08-29","Child","Children's Health Ireland",19697,9992,6319,4821,40829
"2024-08-29","Child","Coombe Women and Infants University Hospital",32,14,4,0,50
"2024-08-29","Child","Cork University Hospital",3415,1645,593,390,6043
"2024-08-29","Child","Cork University Maternity Hospital",50,0,0,0,50
"2024-08-29","Child","Croom Orthopaedic Hospital",205,16,3,3,227
"2024-08-29","Child","Ennis Hospital",28,11,3,2,44
"2024-08-29","Child","Galway University Hospitals",3040,916,476,742,5174
"2024-08-29","Child","Letterkenny University Hospital",1090,340,253,141,1824
"2024-08-29","Child","Mallow General Hospital",165,151,147,66,528
"2024-08-29","Child","Mayo University Hospital",578,90,12,31,711
"2024-08-29","Child","Mercy University Hospital",1,0,0,0,1
"2024-08-29","Child","Midland Regional Hospital Mullingar",847,324,83,9,1263
"2024-08-29","Child","Midland Regional Hospital Portlaoise",818,427,199,56,1500
"2024-08-29","Child","Midland Regional Hospital Tullamore",1017,427,5,0,1448
"2024-08-29","Child","Naas General Hospital",9,1,0,0,10
"2024-08-29","Child","National Maternity Hospital (Holles Street)",45,3,3,0,50
"2024-08-29","Child","National Orthopaedic Hospital Cappagh",124,40,19,18,201
"2024-08-29","Child","Nenagh Hospital",9,1,1,0,12
"2024-08-29","Child","Our Lady of Lourdes Hospital Drogheda",2007,1274,344,13,3639
"2024-08-29","Child","Our Lady's Hospital Navan",2,0,0,0,2
"2024-08-29","Child","Portiuncula University Hospital",421,27,13,0,461
"2024-08-29","Child","Roscommon University Hospital",154,43,11,10,219
"2024-08-29","Child","Rotunda Hospital",16,1,0,0,17
"2024-08-29","Child","Royal Victoria Eye and Ear Hospital",301,145,129,45,620
"2024-08-29","Child","Sligo University Hospital",1359,175,48,87,1669
"2024-08-29","Child","South Infirmary Victoria University Hospital",1568,697,365,313,2942
"2024-08-29","Child","St. Luke's General Hospital Kilkenny",438,14,14,9,475
"2024-08-29","Child","Tallaght University Hospital",6,8,0,0,14
"2024-08-29","Child","Tipperary University Hospital",265,44,10,0,319
"2024-08-29","Child","University Hospital Kerry",707,359,74,24,1163
"2024-08-29","Child","University Hospital Limerick",2728,993,313,77,4112
"2024-08-29","Child","University Hospital Waterford",2099,1070,482,342,3994
"2024-09-26","Child","University Hospital Waterford",2038,1062,451,345,3895
"2024-09-26","Child","Tallaght University Hospital",8,4,0,0,12
"2024-09-26","Child","St. Luke's General Hospital Kilkenny",421,13,14,12,460
"2024-09-26","Child","South Infirmary Victoria University Hospital",1596,723,324,308,2950
"2024-09-26","Child","Sligo University Hospital",1276,180,57,92,1605
"2024-09-26","Child","Royal Victoria Eye and Ear Hospital",265,143,117,61,586
"2024-09-26","Child","Rotunda Hospital",21,0,0,0,21
"2024-09-26","Child","Roscommon University Hospital",135,55,16,9,215
"2024-09-26","Child","Portiuncula University Hospital",410,34,9,0,452
"2024-09-26","Child","Our Lady's Hospital Navan",3,0,0,0,3
"2024-09-26","Child","Our Lady of Lourdes Hospital Drogheda",1945,1237,399,4,3585
"2024-09-26","Child","Nenagh Hospital",9,3,1,0,13
"2024-09-26","Child","National Orthopaedic Hospital Cappagh",120,42,14,15,191
"2024-09-26","Child","National Maternity Hospital (Holles Street)",39,6,1,0,46
"2024-09-26","Child","Naas General Hospital",8,1,0,0,9
"2024-09-26","Child","Midland Regional Hospital Tullamore",969,417,5,0,1391
"2024-09-26","Child","Midland Regional Hospital Portlaoise",786,416,174,34,1410
"2024-09-26","Child","Midland Regional Hospital Mullingar",814,329,99,10,1251
"2024-09-26","Child","Mayo University Hospital",582,85,14,49,731
"2024-09-26","Child","Mallow General Hospital",132,167,144,83,526
"2024-09-26","Child","Letterkenny University Hospital",1046,386,185,86,1703
"2024-09-26","Child","Galway University Hospitals",2927,848,491,714,4980
"2024-09-26","Child","Ennis Hospital",25,16,3,0,44
"2024-09-26","Child","Croom Orthopaedic Hospital",188,16,3,3,210
"2024-09-26","Child","Cork University Maternity Hospital",62,0,0,0,62
"2024-09-26","Child","Cork University Hospital",3226,1680,546,432,5884
"2024-09-26","Child","Coombe Women and Infants University Hospital",32,14,4,0,50
"2024-09-26","Child","Children's Health Ireland",19220,10126,6254,4704,40304
"2024-09-26","Child","Cavan General Hospital",692,100,44,2,838
"2024-09-26","Child","Beaumont Hospital",49,15,0,1,65
"2024-09-26","Adult","Wexford General Hospital",3022,595,106,85,3808
"2024-09-26","Adult","University Hospital Waterford",20311,9694,5149,4729,39883
"2024-09-26","Adult","University Hospital Limerick",14990,4098,1820,841,21749
"2024-09-26","Adult","University Hospital Kerry",6557,2649,992,318,10516
"2024-09-26","Adult","Tipperary University Hospital",2420,688,292,28,3428
"2024-09-26","Adult","Tallaght University Hospital",15653,7667,4101,2617,30038
"2024-09-26","Child","University Hospital Limerick",2612,1137,312,88,4149
"2024-09-26","Adult","St. Vincent's University Hospital",19169,7420,3463,1450,31503
"2024-09-26","Adult","St. Michael's Hospital",2660,963,505,354,4482
"2024-09-26","Adult","St. Luke's General Hospital Kilkenny",3813,1250,837,427,6326
"2024-09-26","Adult","St. John's Hospital Limerick",338,160,84,2,585
"2024-09-26","Adult","St. James's Hospital",17626,4879,1274,919,24698
"2024-09-26","Adult","St. Columcille's Hospital",2373,1403,1229,4366,9371
"2024-09-26","Adult","South Infirmary Victoria University Hospital",14218,6872,3330,3742,28162
"2024-09-26","Adult","Sligo University Hospital",7180,2095,1029,1249,11554
"2024-09-26","Adult","Royal Victoria Eye and Ear Hospital",5771,2731,1512,1263,11277
"2024-09-26","Adult","Rotunda Hospital",3816,743,2,2,4563
"2024-09-26","Adult","Roscommon University Hospital",2493,485,128,66,3172
"2024-09-26","Adult","Portiuncula University Hospital",2064,428,128,45,2664
"2024-09-26","Adult","Our Lady's Hospital Navan",3827,1541,405,40,5814
"2024-09-26","Adult","Our Lady of Lourdes Hospital Drogheda",9137,3652,905,50,13744
"2024-09-26","Adult","Nenagh Hospital",377,245,226,95,943
"2024-09-26","Adult","National Orthopaedic Hospital Cappagh",2311,1550,574,237,4672
"2024-09-26","Adult","National Maternity Hospital (Holles Street)",2240,608,114,0,2962
"2024-09-26","Adult","Naas General Hospital",6722,2611,1148,99,10580
"2024-09-26","Adult","Midland Regional Hospital Tullamore",9289,1879,169,2,11340
"2024-09-26","Adult","Midland Regional Hospital Portlaoise",2555,829,410,246,4039
"2024-09-26","Adult","Midland Regional Hospital Mullingar",4902,1504,671,997,8074
"2024-09-26","Adult","Mercy University Hospital",3018,1248,427,529,5223
"2024-09-26","Adult","Mayo University Hospital",3959,982,224,299,5465
"2024-09-26","Adult","Mater Misericordiae University Hospital",23631,6625,3023,4661,37939
"2024-09-26","Adult","Mallow General Hospital",2506,972,332,187,3997
"2024-09-26","Adult","Louth County Hospital",1504,386,10,36,1935
"2024-09-26","Adult","Letterkenny University Hospital",10019,2606,844,1259,14728
"2024-09-26","Adult","Galway University Hospitals",22849,8216,3828,5693,40585
"2024-09-26","Adult","Ennis Hospital",500,291,268,107,1166
"2024-09-26","Adult","Croom Orthopaedic Hospital",3231,1449,636,229,5545
"2024-09-26","Adult","Cork University Maternity Hospital",2236,85,2,2,2325
"2024-09-26","Adult","Cork University Hospital",13724,6476,2913,4590,27703
"2024-09-26","Adult","Coombe Women and Infants University Hospital",1698,708,129,7,2541
"2024-09-26","Adult","Connolly Hospital Blanchardstown",5670,404,150,0,6224
"2024-09-26","Adult","Cavan General Hospital",4625,1596,537,41,6799
"2024-09-26","Child","University Hospital Kerry",709,389,75,30,1203
"2024-09-26","Adult","Beaumont Hospital",26048,13246,2953,335,42582
"2024-09-26","Adult","Bantry General Hospital",642,100,10,2,754
"2024-09-26","Child","Tipperary University Hospital",276,36,11,0,323
"2024-09-26","Child","Wexford General Hospital",705,245,0,0,950
"2024-10-31","Adult","Tallaght University Hospital",15657,7723,4084,2335,29799
"2024-10-31","Child","Wexford General Hospital",679,234,0,0,913
"2024-10-31","Child","University Hospital Waterford",1992,1096,439,348,3875
"2024-10-31","Child","University Hospital Limerick",2533,1213,293,129,4168
"2024-10-31","Child","University Hospital Kerry",690,427,77,38,1232
"2024-10-31","Child","Tipperary University Hospital",285,42,9,0,336
"2024-10-31","Child","Tallaght University Hospital",8,5,0,0,13
"2024-10-31","Child","St. Luke's General Hospital Kilkenny",353,22,11,11,397
"2024-10-31","Child","South Infirmary Victoria University Hospital",1665,711,287,331,2994
"2024-10-31","Child","Sligo University Hospital",1181,199,68,90,1537
"2024-10-31","Child","Royal Victoria Eye and Ear Hospital",251,166,120,64,601
"2024-10-31","Child","Rotunda Hospital",21,0,0,0,21
"2024-10-31","Child","Roscommon University Hospital",121,72,18,13,224
"2024-10-31","Child","Portiuncula University Hospital",426,16,3,1,446
"2024-10-31","Child","Our Lady's Hospital Navan",3,1,0,0,4
"2024-10-31","Child","Our Lady of Lourdes Hospital Drogheda",1885,1194,393,4,3475
"2024-10-31","Child","Nenagh Hospital",7,4,2,0,13
"2024-10-31","Child","National Orthopaedic Hospital Cappagh",136,43,13,15,207
"2024-10-31","Child","National Maternity Hospital (Holles Street)",37,6,1,0,44
"2024-10-31","Child","Naas General Hospital",3,0,0,0,3
"2024-10-31","Child","Midland Regional Hospital Tullamore",929,436,3,0,1368
"2024-10-31","Child","Midland Regional Hospital Portlaoise",813,464,175,39,1491
"2024-10-31","Child","Midland Regional Hospital Mullingar",766,306,79,12,1163
"2024-10-31","Child","Mayo University Hospital",619,86,23,47,776
"2024-10-31","Child","Mallow General Hospital",131,165,127,120,542
"2024-10-31","Child","Letterkenny University Hospital",1019,357,184,88,1648
"2024-10-31","Child","Galway University Hospitals",2851,788,468,709,4817
"2024-10-31","Child","Ennis Hospital",21,19,4,2,45
"2024-10-31","Child","Croom Orthopaedic Hospital",195,22,3,2,222
"2024-10-31","Child","Cork University Maternity Hospital",70,0,0,0,70
"2024-10-31","Child","Cork University Hospital",3250,1584,492,440,5766
"2024-10-31","Child","Coombe Women and Infants University Hospital",26,13,7,0,46
"2024-10-31","Child","Children's Health Ireland",18802,10130,5642,4535,39109
"2024-10-31","Child","Cavan General Hospital",573,147,33,2,756
"2024-10-31","Child","Beaumont Hospital",40,13,0,0,53
"2024-10-31","Adult","Wexford General Hospital",2994,546,87,49,3677
"2024-10-31","Adult","University Hospital Waterford",20433,9659,5236,4768,40097
"2024-10-31","Adult","University Hospital Limerick",15115,4266,1741,783,21906
"2024-10-31","Adult","University Hospital Kerry",6195,2622,746,369,9933
"2024-10-31","Adult","Tipperary University Hospital",2462,657,292,39,3450
"2024-10-31","Adult","St. Vincent's University Hospital",18739,7747,3488,1496,31469
"2024-10-31","Adult","St. Michael's Hospital",2682,1028,560,342,4612
"2024-10-31","Adult","St. Luke's General Hospital Kilkenny",3590,1291,918,578,6378
"2024-10-31","Adult","St. John's Hospital Limerick",343,161,53,12,568
"2024-10-31","Adult","St. James's Hospital",16972,4624,1266,842,23704
"2024-10-31","Adult","St. Columcille's Hospital",2427,1440,1154,4476,9497
"2024-10-31","Adult","South Infirmary Victoria University Hospital",14203,6865,3112,3989,28168
"2024-10-31","Adult","Sligo University Hospital",6990,2057,1009,1113,11170
"2024-10-31","Adult","Royal Victoria Eye and Ear Hospital",5940,2767,1584,1295,11586
"2024-10-31","Adult","Rotunda Hospital",3884,700,3,0,4587
"2024-10-31","Adult","Roscommon University Hospital",2384,474,111,70,3040
"2024-10-31","Adult","Portiuncula University Hospital",2078,415,87,17,2596
"2024-10-31","Adult","Our Lady's Hospital Navan",3836,1479,418,16,5749
"2024-10-31","Adult","Our Lady of Lourdes Hospital Drogheda",9304,3680,977,74,14034
"2024-10-31","Adult","Nenagh Hospital",381,253,223,117,974
"2024-10-31","Adult","National Orthopaedic Hospital Cappagh",2339,1338,606,209,4492
"2024-10-31","Adult","National Maternity Hospital (Holles Street)",2248,663,115,1,3027
"2024-10-31","Adult","Naas General Hospital",6611,2684,725,89,10110
"2024-10-31","Adult","Midland Regional Hospital Tullamore",9143,1586,95,0,10825
"2024-10-31","Adult","Midland Regional Hospital Portlaoise",2778,665,327,263,4033
"2024-10-31","Adult","Midland Regional Hospital Mullingar",4851,1550,632,879,7911
"2024-10-31","Adult","Mercy University Hospital",3205,1338,364,536,5444
"2024-10-31","Adult","Mayo University Hospital",4007,949,207,286,5448
"2024-10-31","Adult","Mater Misericordiae University Hospital",23889,6600,2922,4494,37905
