"archive_date","adult_child","hospital_name","wait_0_6_months","wait_6_12_months","wait_12_18_months","wait_18_plus_months","total"
"2024-01-25","Child","University Hospital Kerry",712,251,42,0,1004
"2024-01-25","Child","University Hospital Limerick",2489,899,202,111,3701
"2024-01-25","Child","University Hospital Waterford",1875,1171,222,305,3573
"2024-02-29","Adult","Mayo University Hospital",3882,1315,447,427,6071
"2024-02-29","Child","St. Luke's General Hospital Kilkenny",391,33,5,2,431
"2024-02-29","Child","St. John's Hospital Limerick",4,0,0,0,4
"2024-02-29","Child","South Infirmary Victoria University Hospital",1507,869,206,294,2875
"2024-02-29","Child","Sligo University Hospital",1121,121,67,76,1385
"2024-02-29","Child","Royal Victoria Eye and Ear Hospital",301,201,80,66,648
"2024-02-29","Child","Rotunda Hospital",23,0,0,0,23
"2024-02-29","Child","Portiuncula University Hospital",324,42,8,1,376
"2024-02-29","Child","Our Lady's Hospital Navan",1,1,0,0,2
"2024-02-29","Child","Our Lady of Lourdes Hospital Drogheda",2331,1255,182,9,3777
"2024-02-29","Child","Nenagh Hospital",6,2,2,0,10
"2024-02-29","Child","National Orthopaedic Hospital Cappagh",118,66,48,25,257
"2024-02-29","Child","National Maternity Hospital (Holles Street)",42,19,1,0,62
"2024-02-29","Child","Naas General Hospital",3,0,0,0,3
"2024-02-29","Child","Midland Regional Hospital Tullamore",985,264,22,0,1271
"2024-02-29","Child","Midland Regional Hospital Portlaoise",656,374,152,43,1224
"2024-02-29","Child","Midland Regional Hospital Mullingar",949,276,142,99,1466
"2024-02-29","Child","Mercy University Hospital",195,77,5,2,279
"2024-02-29","Child","Mayo University Hospital",705,106,59,42,912
"2024-02-29","Child","Mallow General Hospital",229,170,97,4,500
"2024-02-29","Child","Letterkenny University Hospital",1084,380,243,283,1990
"2024-02-29","Child","Galway University Hospitals",3039,1255,482,935,5711
"2024-02-29","Child","Ennis Hospital",31,10,3,0,43
"2024-02-29","Child","Croom Orthopaedic Hospital",179,15,3,2,198
"2024-02-29","Child","Cork University Maternity Hospital",46,0,0,0,46
"2024-02-29","Child","Cork University Hospital",3228,1612,477,383,5701
"2024-02-29","Child","Coombe Women and Infants University Hospital",33,15,6,0,54
"2024-02-29","Child","Children's Health Ireland",19057,11063,5687,4650,40457
"2024-02-29","Child","Cavan General Hospital",846,278,7,0,1131
"2024-02-29","Child","Beaumont Hospital",51,6,1,0,58
"2024-02-29","Adult","Wexford General Hospital",2733,826,252,89,3900
"2024-02-29","Adult","University Hospital Waterford",17815,9144,3742,4857,35558
"2024-02-29","Adult","University Hospital Limerick",14204,4490,1295,831,20821
"2024-02-29","Adult","University Hospital Kerry",5998,2611,750,153,9512
"2024-02-29","Adult","Tipperary University Hospital",2264,886,171,33,3354
"2024-02-29","Adult","Tallaght University Hospital",14499,8845,4241,3978,31564
"2024-02-29","Adult","St. Vincent's University Hospital",17795,7409,2166,651,28021
"2024-02-29","Adult","St. Michael's Hospital",2633,861,339,281,4114
"2024-02-29","Adult","St. Luke's General Hospital Kilkenny",3523,1346,404,141,5415
"2024-02-29","Adult","St. John's Hospital Limerick",442,270,22,4,738
"2024-02-29","Adult","St. James's Hospital",16853,4923,1266,1277,24318
"2024-02-29","Adult","St. Columcille's Hospital",2086,1542,1226,3831,8685
"2024-02-29","Adult","South Infirmary Victoria University Hospital",11222,6377,2645,4056,24299
"2024-02-29","Adult","Sligo University Hospital",7277,2262,1078,1429,12046
"2024-02-29","Adult","Royal Victoria Eye and Ear Hospital",5674,2782,1719,1906,12081
"2024-02-29","Adult","Rotunda Hospital",3659,671,0,0,4330
"2024-02-29","Adult","Roscommon University Hospital",2172,780,180,222,3354
"2024-02-29","Adult","Portiuncula University Hospital",1872,358,135,99,2463
"2024-02-29","Adult","Our Lady's Hospital Navan",3432,2009,552,239,6232
"2024-02-29","Adult","Our Lady of Lourdes Hospital Drogheda",8228,2990,233,91,11542
"2024-02-29","Adult","Nenagh Hospital",337,260,207,33,837
"2024-02-29","Adult","National Orthopaedic Hospital Cappagh",3009,1804,578,181,5571
"2024-02-29","Adult","National Maternity Hospital (Holles Street)",2452,608,36,2,3097
"2024-02-29","Adult","Naas General Hospital",6312,2820,708,152,9992
"2024-02-29","Adult","Midland Regional Hospital Tullamore",8115,2151,238,0,10504
"2024-02-29","Adult","Midland Regional Hospital Portlaoise",2232,1075,455,453,4214
"2024-02-29","Adult","Midland Regional Hospital Mullingar",4531,1684,1011,1073,8299
"2024-02-29","Adult","Mercy University Hospital",3025,1358,557,846,5786
"2024-02-29","Child","Tallaght University Hospital",21,5,0,0,26
"2024-02-29","Adult","Mater Misericordiae University Hospital",21994,7767,3176,5191,38127
"2024-02-29","Adult","Mallow General Hospital",2251,826,282,43,3402
"2024-02-29","Adult","Louth County Hospital",1580,384,4,0,1968
"2024-02-29","Adult","Letterkenny University Hospital",7795,2221,1060,1660,12736
"2024-02-29","Adult","Galway University Hospitals",22013,8536,4250,7699,42498
"2024-02-29","Adult","Ennis Hospital",460,373,234,19,1086
"2024-02-29","Adult","Croom Orthopaedic Hospital",3102,1373,308,91,4874
"2024-02-29","Adult","Cork University Maternity Hospital",2281,23,0,0,2304
"2024-02-29","Adult","Cork University Hospital",14669,7393,3374,5048,30484
"2024-02-29","Adult","Coombe Women and Infants University Hospital",1462,895,263,36,2655
"2024-02-29","Adult","Connolly Hospital Blanchardstown",4827,301,0,0,5128
"2024-02-29","Adult","Cavan General Hospital",5315,2016,55,0,7386
"2024-02-29","Adult","Beaumont Hospital",25466,10376,1341,150,37333
"2024-02-29","Adult","Bantry General Hospital",678,214,76,40,1008
"2024-02-29","Child","Wexford General Hospital",617,342,107,0,1066
"2024-02-29","Child","University Hospital Waterford",1992,1080,280,308,3659
"2024-02-29","Child","University Hospital Limerick",2603,898,207,130,3838
"2024-02-29","Child","University Hospital Kerry",756,238,51,2,1047
"2024-02-29","Child","Tipperary University Hospital",311,45,2,0,358
"2024-03-28","Child","Tallaght University Hospital",20,3,0,0,23
"2024-03-28","Child","St. Luke's General Hospital Kilkenny",407,29,9,2,448
"2024-03-28","Child","St. John's Hospital Limerick",3,0,0,0,3
"2024-03-28","Child","South Infirmary Victoria University Hospital",1589,823,261,289,2962
"2024-03-28","Child","Sligo University Hospital",1234,146,50,95,1525
"2024-03-28","Child","Royal Victoria Eye and Ear Hospital",311,189,106,64,670
"2024-03-28","Child","Rotunda Hospital",25,0,0,0,25
"2024-03-28","Child","Portiuncula University Hospital",367,41,10,0,418
"2024-03-28","Child","Our Lady's Hospital Navan",1,1,0,0,2
"2024-03-28","Child","Our Lady of Lourdes Hospital Drogheda",2220,1294,188,21,3722
"2024-03-28","Child","Nenagh Hospital",8,3,3,0,13
"2024-03-28","Child","National Orthopaedic Hospital Cappagh",96,54,46,26,222
"2024-03-28","Child","National Maternity Hospital (Holles Street)",49,19,0,0,68
"2024-03-28","Child","Naas General Hospital",2,0,0,0,2
"2024-03-28","Child","Midland Regional Hospital Tullamore",1010,272,38,0,1320
"2024-03-28","Child","Midland Regional Hospital Portlaoise",720,350,178,50,1298
"2024-03-28","Child","Midland Regional Hospital Mullingar",915,318,150,94,1476
"2024-03-28","Child","Mercy University Hospital",166,95,4,2,266
"2024-03-28","Child","Mayo University Hospital",626,100,54,36,817
"2024-03-28","Child","Mallow General Hospital",233,171,112,5,521
"2024-03-28","Child","Letterkenny University Hospital",1106,373,267,267,2013
"2024-03-28","Child","Galway University Hospitals",3106,1202,465,896,5670
"2024-03-28","Child","Ennis Hospital",31,6,6,0,42
"2024-03-28","Child","Croom Orthopaedic Hospital",182,21,4,2,208
"2024-03-28","Child","Cork University Maternity Hospital",38,0,0,0,38
"2024-03-28","Child","Cork University Hospital",3378,1565,532,368,5843
"2024-03-28","Child","Coombe Women and Infants University Hospital",31,13,5,0,49
"2024-03-28","Child","Children's Health Ireland",19127,10898,6119,4750,40893
"2024-03-28","Child","Cavan General Hospital",847,308,5,2,1162
"2024-03-28","Child","Beaumont Hospital",47,8,3,0,58
"2024-03-28","Adult","Wexford General Hospital",2845,815,256,109,4025
"2024-03-28","Adult","University Hospital Waterford",18027,9445,3988,4906,36366
"2024-03-28","Adult","University Hospital Limerick",14042,4538,1278,891,20748
"2024-03-28","Adult","University Hospital Kerry",6055,2399,703,136,9293
"2024-03-28","Adult","Tipperary University Hospital",2182,910,207,35,3333
"2024-03-28","Adult","Tallaght University Hospital",14181,8688,4336,3655,30860
"2024-03-28","Adult","St. Vincent's University Hospital",18680,7444,2352,730,29206
"2024-03-28","Adult","St. Michael's Hospital",2646,912,344,294,4195
"2024-03-28","Adult","St. Luke's General Hospital Kilkenny",3608,1383,469,176,5637
"2024-03-28","Adult","St. John's Hospital Limerick",389,270,27,1,687
"2024-03-28","Adult","St. James's Hospital",17124,4957,1384,1184,24649
"2024-03-28","Adult","St. Columcille's Hospital",2106,1591,1207,3962,8865
"2024-03-28","Adult","South Infirmary Victoria University Hospital",11499,6458,2803,4091,24851
"2024-03-28","Adult","Sligo University Hospital",7289,2391,919,1617,12216
"2024-03-28","Adult","Royal Victoria Eye and Ear Hospital",5715,2740,1751,1713,11919
"2024-03-28","Adult","Rotunda Hospital",3747,719,0,1,4467
"2024-03-28","Adult","Roscommon University Hospital",2318,807,153,185,3464
